epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,116.986,2.34714,0.61798,0.87266,1.46965,8.97097e-05,8.97097e-05,8.97097e-05
2,234.933,1.42159,0.73034,0.93258,0.99042,0.000173779,0.000173779,0.000173779
3,353.334,1.10457,0.77528,0.9588,0.79436,0.000251909,0.000251909,0.000251909
4,464.844,0.91776,0.76779,0.96629,0.7737,0.00024327,0.00024327,0.00024327
5,602.908,0.79555,0.8015,0.96255,0.68453,0.00023436,0.00023436,0.00023436
6,762.077,0.71381,0.8015,0.97004,0.66908,0.00022545,0.00022545,0.00022545
7,895.394,0.67605,0.77528,0.96629,0.76203,0.00021654,0.00021654,0.00021654
8,1006.99,0.60671,0.78652,0.96629,0.74102,0.00020763,0.00020763,0.00020763
9,1107.35,0.60212,0.8015,0.97004,0.66472,0.00019872,0.00019872,0.00019872
10,1209.77,0.55901,0.83895,0.96629,0.67391,0.00018981,0.00018981,0.00018981
11,1311.62,0.53261,0.8427,0.97378,0.64756,0.0001809,0.0001809,0.0001809
12,1411.7,0.49252,0.84644,0.96255,0.66276,0.00017199,0.00017199,0.00017199
13,1511.31,0.47541,0.80524,0.97378,0.65654,0.00016308,0.00016308,0.00016308
14,1608.53,0.43955,0.80899,0.97378,0.69527,0.00015417,0.00015417,0.00015417
15,1706.16,0.43667,0.82397,0.97378,0.70198,0.00014526,0.00014526,0.00014526
16,1802.77,0.41167,0.84644,0.97378,0.67454,0.00013635,0.00013635,0.00013635
17,1905.69,0.39762,0.8427,0.97753,0.61976,0.00012744,0.00012744,0.00012744
18,2004.3,0.38423,0.83521,0.97753,0.66668,0.00011853,0.00011853,0.00011853
19,2109.9,0.35714,0.84644,0.97378,0.67707,0.00010962,0.00010962,0.00010962
20,2212.3,0.33543,0.86517,0.97378,0.65921,0.00010071,0.00010071,0.00010071
21,2316.38,0.35456,0.83895,0.97378,0.69197,9.18e-05,9.18e-05,9.18e-05
22,2418.82,0.33495,0.83895,0.97004,0.6931,8.289e-05,8.289e-05,8.289e-05
23,2526.72,0.31602,0.81648,0.97753,0.69098,7.398e-05,7.398e-05,7.398e-05
24,2636.49,0.30415,0.83521,0.97378,0.7221,6.507e-05,6.507e-05,6.507e-05
25,2735.16,0.30839,0.82772,0.97753,0.7286,5.616e-05,5.616e-05,5.616e-05
26,2835.04,0.31974,0.83146,0.98127,0.71422,4.725e-05,4.725e-05,4.725e-05
27,2934.52,0.29574,0.83895,0.97753,0.70524,3.834e-05,3.834e-05,3.834e-05
28,3030.43,0.26606,0.83146,0.97753,0.70346,2.943e-05,2.943e-05,2.943e-05
29,3132.64,0.28177,0.84644,0.97753,0.70422,2.052e-05,2.052e-05,2.052e-05
30,3232.96,0.28711,0.83895,0.98127,0.74762,1.161e-05,1.161e-05,1.161e-05
